author,count
Hajnal Andréka,2
George I. Davida,2
Fred B. Schneider,2
Arndt Bode,2
Raimund T. Kölsch,2
Paul Messina,2
William J. Cody,2
Edouard André,2
Herbert Weber,2
Kurt Lautenbach,2
Takao Nishizeki,2
Nissim Francez,2
Eugene M. Luks,2
Mihalis Yannakakis,2
A. J. Kfoury,2
Stephen R. Mahaney,2
Gary L. Peterson,2
U. V. Premkumar,2
William S. Faught,2
R. David Snyder,2
Jay M. Tenenbaum,2
Harry G. Barrow,2
Robert C. Bolles,2
Martin A. Fischler,2
Lorraine Duvall,2
John F. Heafner,2
Frances H. Nielsen,2
Gio Wiederhold,2
George P. Copeland,2
Randy H. Katz,2
John Miles Smith,2
Peter Hitchcock,2
Alexander Borgida,2
Esen A. Ozkarahan,2
E. F. Codd,2
Raymond Reiter,2
P. Bruce Berra,2
Joachim W. Schmidt,2
Diane C. P. Smith,2
Martin S. Feather,2
Peter Buneman,2
Paolo Paolini,2
William Mark,2
Judea Pearl,2
Sho Yoshida,2
Makoto Nagao,2
Jun'ichi Tsujii,2
Yuzuru Hiraga,2
Yoshihiko Ono,2
Hisao Yamada,2
Christian Boitet,2
Alan J. Demers,2
James E. Donahue,2
Bill Hays,1
Gordon E. Stokes,1
Theodore A. Norman,1
Lance Smith,1
Peter M. G. Apers,1
John F. Buford,1
Tarek K. Abdel-Hamid,1
J.-F. Mergen,1
Mario Gerla,1
Aksenti Grnarov,1
Charlie Bass,1
Wei C. Yen,1
Lois M. L. Delcambre,1
E. Adams,1
A. Birjandi,1
M. Farooq,1
A. Hayatgheyb,1
C. Lillie,1
M. K. Sadagopan,1
Don Vines,1
Tom B. Wilson,1
James A. Larson,1
Akira Fusaoka,1
Masaharu Hirayama,1
Tadashi Kanamori,1
Ram Rao,1
C. C. Devor,1
James A. Weeldreyer,1
James E. Donnelley,1
John G. Fletcher,1
Steven F. Jennings,1
Arthur E. Oldehoeft,1
Robert G. Felix,1
Alfred Z. Spector,1
Thomas H. Acklen,1
Martha R. Newton,1
David F. Palmer,1
Jean Tague,1
Michael J. Nelson,1
Carole D. Hafner,1
Roger C. Schank,1
Gerald DeJong,1
Lawrence J. Mazlack,1
Richard A. Feinauer,1
Abraham Bookstein,1
D. R. McGregor,1
J. R. Malone,1
Terry Noreault,1
Michael McGill,1
Tadeusz Radecki,1
Chris D. Paice,1
R. M. Lea,1
Ernst J. Schuegraf,1
Christine A. Montgomery,1
Christopher Landauer,1
Clinton Mah,1
Stephen E. Robertson,1
C. J. van Rijsbergen,1
Martin F. Porter,1
Peter Kracsony,1
Gerald J. Kowalski,1
Arnold Meltzer,1
B. C. Brookes,1
Stephen F. Weiss,1
Peter Bollmann,1
Vladimir S. Cherniavsky,1
Lynette Hirschman,1
Linda C. Smith,1
Gerard Salton,1
Andrew J. Palay,1
Mark S. Fox,1
Olli Nevalainen,1
Henk M. Blanken,1
S. A. Borkin,1
Wolfgang Effelsberg,1
S. Misbah Deen,1
Donald D. Chamberlin,1
Frank W. Allen,1
G. M. Nijssen,1
Eckhard D. Falkenberg,1
Patricia G. Selinger,1
S. Jones,1
P. J. Mason,1
Jukka Teuhola,1
C. Fraboul,1
Werner Ainhirn,1
Martin Fürer,1
Helmut Alt,1
Andrzej Ehrenfeucht,1
Karel Culik II,1
Peter Schlichtiger,1
Hans Langmaack,1
Ernst-Rüdiger Olderog,1
Tommaso Toffoli,1
Jean-Claude Raoult,1
Arto Salomaa,1
Aldo de Luca,1
Antonio Restivo,1
Lutz M. Wegner,1
Rüdiger Reischuk,1
Jeanette P. Schmidt,1
Eli Shamir,1
Ronald I. Becker,1
Yehoshua Perl,1
Stephen R. Schach,1
Mila E. Majster-Cederbaum,1
J. V. Tucker,1
E. Allen Emerson,1
Günter Hornung,1
Piotr Berman,1
Jean-Eric Pin,1
Erik Meineche Schmidt,1
Richard Kennaway,1
C. A. R. Hoare,1
Michael B. Smyth,1
Jim Gray,1
Seppo Sippu,1
Eljas Soisalon-Soininen,1
Joost Engelfriet,1
Gilberto Filé,1
Thiet-Dung Huynh,1
Patrick Cousot,1
Radhia Cousot,1
Dario Bini,1
Luc Boasson,1
A. Goralciková,1
Pavel Goralcik,1
Václav Koubek,1
Robin Milner,1
Marc Snir,1
Nobuo Saito,1
Toyohiko Hirota,1
Koichi Tabata,1
Laszlo A. Belady,1
Masatoshi Miyazaki,1
Shigeru Matsuzawa,1
Seiziro Obata,1
Itsujiro Arita,1
Tadao Saito,1
Toshihiko Kato,1
Chiaki Ishikawa,1
Ken Sakamura,1
Toru Takeshita,1
Randal E. Bryant,1
Yahiko Kambayashi,1
Hisao Kameda,1
Katsuo Ikeda,1
Yoshihiko Ebihara,1
Michihiro Ishizaka,1
Takao Fujima,1
Tomoo Nakamura,1
Kazuhiko Nakayama,1
Takashi Masuda,1
Tong-Haing Fin,1
Mohamed G. Gouda,1
Yao-Tin Yu,1
Hiroyuki Kitagawa,1
Michiharu Tsukamoto,1
Yoshizo Takahashi,1
Arvind,1
Jon Livesey,1
Kouichi Wada,1
Kenichi Hagihara,1
Toshiro Araki,1
Nobuki Tokura,1
Isao Miyamura,1
Masayuki Sunuma,1
Dean Ritchie,1
Springer W. Cox,1
E. L. Alexander Jr.,1
James P. Bouhana,1
William Sweeney,1
Phillip C. Howard,1
Edward D. Lazowska,1
Carl Steidtmann,1
Herman D. Hughes,1
Larry Greenhaw,1
Jerome W. Blaylock,1
Jeffrey Mohr,1
Steven G. Penansky,1
Bob Irwin,1
Seymour Kraut,1
Tim Rudy,1
Rollins Turner,1
Steve Forgey,1
Edwin S. Herndon,1
Barry Brass,1
Benjamin S. H. Wang,1
Mel Boksenbaum,1
Martha R. Gilmore,1
David S. Lindsay,1
Allan I. Levy,1
T. M. Kachigan,1
Daniel L. Pierson,1
David R. Vincent,1
John Sanguinetti,1
Richard Billington,1
Herman P. Hoplin,1
John L. Ferguson,1
Daniel R. Seligman,1
Imrich Chlamtac,1
Connie U. Smith,1
Shirley I. Linde,1
Lois Morgan,1
David Kimball,1
Marc A. Zammit,1
Arpad Gallo,1
Richard P. Wilder,1
Edwin E. Catmull,1
Alvy Ray Smith,1
Ehud Artzy,1
Gideon Frieder,1
Gabor T. Herman,1
Uri Shani,1
Wm. Randolph Franklin,1
Kathleen R. McKeown,1
Richard A. Bolt,1
Lucky M. Tedrow,1
Eugene A. Hoerauf,1
D. Cohen,1
Bob Sproull,1
James H. Clark,1
James Torson,1
Bruce Kaufman,1
William Leler,1
Richard T. Carling,1
Mark Friedell,1
David Kramlich,1
Ken Anderson,1
Myrl Thompson,1
D. H. W. Harris,1
R. Wilson,1
B. Crowley,1
C. Boyd,1
Michael J. Wozny,1
Eliot Feibush,1
Marc Levoy,1
Mervyn Kurlansky,1
Susan Marcus,1
Jack Reineck,1
Gay Reineck,1
Andrew Lippman,1
Gary B. Goates,1
Martin L. Griss,1
Gary J. Herron,1
Loren C. Carpenter,1
Joshua Z. Levin,1
Patrick Baudelaire,1
Maureen Stone,1
Tateyuki Tsurutani,1
Yutaka Kasahara,1
Masaru Naniwada,1
Robert Marshall,1
Rodger Wilson,1
Wayne E. Carlson,1
Richard Shoup,1
Tom Klimek,1
Larry Evans,1
Peter Black,1
H. Bley,1
D. Weise,1
Günter Enderle,1
Klaus Kansy,1
G. Nees,1
J. Weiss,1
Thomas W. Calvert,1
John Chapman,1
Aftab E. Patla,1
Robert F. Gurwitz,1
Richard W. Thorne,1
Andreas von Bechtolsheim,1
Forest Baskett,1
Carl F. R. Weiman,1
Gary W. Meyer,1
Donald P. Greenberg,1
Kevin Weiler,1
James C. Michener,1
David F. Rogers,1
Steven G. Satterfield,1
John E. Warnock,1
Pieter de Bruyne,1
William Hankley,1
Virgil Wallentine,1
Nelson Max,1
John Blunden,1
Gregory D. Laib,1
Richard Puk,1
G. Stowell,1
P. tenHagen,1
Janet S. Chin,1
Peter R. Bono,1
J. Michener,1
Steven M. Rubin,1
Turner Whitted,1
Mary desJardins,1
A. Frederick Hasler,1
Alain Fournier,1
Donald S. Fussell,1
J. H. Jackson,1
Carl Machover,1
Susan Taylor,1
Allan Schmidt,1
Paul Birkhahn,1
June Hament,1
John J. Quann,1
Bruce F. Naylor,1
Gwendolyn L. Fuehring,1
Sajjan G. Shiva,1
Koji Sato,1
Hiroyoshi Shimoyama,1
Takao Nagai,1
Masaru Ozaki,1
Toshihiko Yahara,1
Dave Clary,1
Robert Kirk,1
Charles W. Gwyn,1
Lawrence H. Goldstein,1
Evelyn L. Thigpen,1
Vishwani D. Agrawal,1
Patrick Kozak,1
Ernesto Pacas-Skewes,1
Kenneth D. Yates,1
James A. Wilmore,1
Lawrence M. Rosenberg,1
Keiichi Sato,1
Charles L. Owen,1
Prabhakar Goel,1
Yacoub M. El-Ziq,1
Hiroshi Shiraishi,1
Fumiyasu Hirose,1
V. Jayakumar,1
Jacob M. Miller,1
David N. Deutsch,1
Paul Glick,1
Patrick G. Karger,1
W. R. Read Jr.,1
Don Ross,1
John Smith,1
Richard von Blucher,1
Jin H. Kim,1
Daniel P. Siewiorek,1
A. E. Fitch,1
D. Lacy,1
N. Phillips,1
J. Tellier,1
M. Kearney,1
T. Elkind,1
R. Beaven,1
Walter Heyns,1
Willy Sansen,1
Herman Beke,1
John M. Gould,1
Teddy M. Edge,1
Miron Abramovici,1
Melvin A. Breuer,1
Wilm E. Donath,1
Sam Bala Daram,1
Tohru Sasaki,1
Akihiko Yamada,1
Shunichi Kato,1
Terufumi Nakazawa,1
Kyoji Tomita,1
Nobuyoshi Nomizu,1
Takashi Mitsuhashi,1
Toshiaki Chiba,1
Makoto Takashima,1
Kenji Yoshida,1
George M. Koppelman,1
D. E. Bering,1
Antoni A. Szepieniec,1
Ralph H. J. M. Otten,1
Jonathan Allen,1
Frank Luebbert,1
Mike Ulrey,1
Albert E. Casavant,1
Daniel D. Gajski,1
David J. Kuck,1
Frank R. Ramsay,1
J. Philip Singleton,1
Nigel R. Crocker,1
Robert Simpson Frew,1
R. A. Armstrong,1
