author,title,pages,proc:editor,proc:title
['James W. Thatcher'],"Data Abstraction, Data Bases and Conceptual Modelling.",196-197,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Dennis McLeod'],On Conceptual Database Modelling.,161-163,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['E. F. Codd'],Data Models in Database Management.,112-114,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Tore Amble'],Integration of Data Base Design in Programming Languages.,94,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['R. G. G. Cattell'],Integrating a Database System and Programming/Information Environment.,110-111,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
"['Joachim W. Schmidt', 'Michael L. Brodie', 'Diane C. P. Smith', 'Lawrence A. Rowe', 'R. G. G. Cattell']",Application of Modelling Techniques (discussion).,83-87,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
"['W. Terry Hardgrave', 'Donald R. Deutsch']",Processing Data Model Abstractions.,126-127,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
"['Michel Lacroix', 'Alain Pirotte']",Associating Types with Domains of Relational Data Bases.,144-146,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Martin S. Feather'],Some Contrasts and Considerations of an Approach to Modelling.,121-123,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Peter Hitchcock'],Data Dictionaries in Open System Communication.,133-134,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['John F. Sowa'],A Conceptual Schema for Knowledge-Based Systems.,193-195,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
"['Dennis McLeod', 'Peter Buneman', 'R. G. G. Cattell']",Behaviour (discussion).,53-61,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Ira P. Goldstein'],Integrating a Network-Structured Database Into an Object-Oriented Programming Language.,124-125,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Lawrence A. Rowe'],Tutorial on Programming Language Research.,36-39,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Gary G. Hendrix'],Mediating the Views of Databases and Database Users.,131-132,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
"['Peter Buneman', 'Ira Winston']",The Use of Data Type Information in an Interactive Database Environment.,104-106,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Peter Kreps'],Relativism and Views in a Conceptual Data Base Model.,141-143,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
"['John Mylopoulos', 'Martin S. Feather', 'Bertrand Meyer', 'Paolo Paolini', 'Diane C. P. Smith', 'Gary G. Hendrix']",Relationships Between and Among Models (discussion).,77-82,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Charles Rich'],Multiple Points of View in Modelling Programs.,177-179,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Dennis McLeod'],Tutorial on Database Research.,26-28,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Paolo Paolini'],Abstract Data Types and Data Bases.,171-173,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Bertrand Meyer'],"A Three-Level Approach to the Description of Data Structures, and Notational Framework.",164-166,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['William Mark'],Use of Database Organization in the Consul System.,155-157,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
